battery_type,battery_id,battery_formula,working_ion,elements,nelements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,id_charge,id_discharge,energy_density,working_ion_cost_per_kWh,battery_volume_cost
insertion,mp-8636_Li,Li0-3Nb,Li,['Nb'],1,Nb,Li3Nb,2.38149567340585,-0.825405963333333,706.980407666793,2085.17841482965,-583.545844448002,-1721.11869821434,0.320164159999999,0.6990955125,mp-mue,mp-cplga,0.339050319454103,10.0,3.39050319454103
insertion,mp-867343_Li,Li0-3Cd,Li,['Cd'],1,Cd,Li3Cd,2.20434916865066,0.241328356666665,603.482920546494,1791.74311851949,145.637541491885,432.398422361116,0.0,0.0,mp-ckkoz,mp-bxjbj,0.3368133044904057,10.0,3.3681330449040567
insertion,mp-976060_Li,Li2-3C,Li,['C'],1,Li2C,Li3C,0.051919477964863,0.837677993333334,816.279650035295,1209.46487550474,683.779499240402,1013.14210991996,0.914417564537036,0.476393675069444,mp-cqxbb,mp-cdnwu,0.674909760975606,10.0,6.74909760975606
insertion,mp-1001833_Li,Li0-2InBi,Li,"['In', 'Bi']",2,InBi,Li2InBi,12.6128941031473,-1.85190861166666,158.738743174693,81.0646459633781,-293.969645490358,-150.124315961289,0.025940062499999,1.2965093675,mp-cfaab,mp-ckkkb,1.9581747540895336,10.0,19.581747540895336
insertion,mp-1002219_Li,Li0-2TlSb,Li,"['Tl', 'Sb']",2,TlSb,Li2TlSb,13.1652269303953,-1.59436041666666,157.64404087204,80.2197514113612,-251.341418689763,-127.899196285114,0.071025235,1.29135415958333,mp-cfaox,mp-cklqq,1.9651524481003753,10.0,19.651524481003754
insertion,mp-1008911_Li,Li0-1MnAs,Li,"['Mn', 'As']",2,MnAs,LiMnAs,0.182656531783761,1.22114438333333,195.916336106192,817.918198621169,239.242133439322,998.796214272359,0.44509168,0.145942876340997,mp-cfkut,mp-cfkmh,0.23953047680863934,10.0,2.3953047680863935
insertion,mp-1009555_Li,Li0-1CrO2,Li,"['Cr', 'O']",2,CrO2,LiCrO2,0.155139284348778,-0.348811196666665,294.729376905753,1423.42922697936,-102.804906651316,-496.50805203298,0.192758304999983,1.10461773499999,mp-cfllb,mp-csjak,0.20705586995090317,10.0,2.0705586995090317
insertion,mp-1009747_Li,Li0-1ScSn,Li,"['Sc', 'Sn']",2,ScSn,LiScSn,0.028635769640029,1.03923348333333,157.09493144899,578.541626168719,163.258312823745,601.239829416648,1.03679946196428,0.479846485666665,mp-cflsl,mp-ckpwo,0.27153609065145595,10.0,2.7153609065145594
insertion,mp-1009755_Li,Li0-1Ca2Ge,Li,"['Ca', 'Ge']",2,Ca2Ge,LiCa2Ge,0.044967602287496,-0.216531166666666,167.785053840775,452.757938945021,-36.3306934573725,-98.0362047373609,0.015851089999999,0.066021109166666,mp-cflst,mp-cqrfi,0.37058445453597966,10.0,3.7058445453597963
insertion,mp-1009756_Li,Li0-1Ca2Pb,Li,"['Ca', 'Pb']",2,Ca2Pb,LiCa2Pb,0.034131055101368,0.038523213333333,91.0695017120931,386.208958760593,3.50828984261538,14.8780101095791,0.03600977,0.020861778749999,mp-cflsu,mp-cplll,0.23580370068149079,10.0,2.3580370068149077
insertion,mp-1018126_Li,Li0-2GaBi,Li,"['Ga', 'Bi']",2,GaBi,Li2GaBi,15.3976633733968,-1.97465460166666,183.204501286556,80.5412488571938,-361.765611511546,-159.041147679838,0.027117036249999,1.37106673803571,mp-cfycs,mp-ckfrg,2.2746667563026306,10.0,22.746667563026307
insertion,mp-1039025_Li,Li0-2MgCd,Li,"['Mg', 'Cd']",2,MgCd,Li2MgCd,0.073177170954059,0.826799788333333,355.934091360627,1129.59295936995,294.286231397584,933.947219709899,0.560640674999999,0.0,mp-chdan,mp-croqy,0.3150994244503395,10.0,3.150994244503395
insertion,mp-1040470_Li,Li0-1FeS2,Li,"['Fe', 'S']",2,FeS2,LiFeS2,0.141599331079254,1.84623227083333,211.17495938545,770.281204899635,389.878024809338,1422.11801810209,0.250639878333333,0.161773218125,mp-dbgvo,mp-coysh,0.2741530729845153,10.0,2.7415307298451532
insertion,mp-1045358_Li,Li0-0.5CrS2,Li,"['Cr', 'S']",2,CrS2,Li(CrS2)2,0.177575623477484,2.55967570333333,112.049511212542,356.57213297708,286.810411421121,912.709025267176,0.029461006666667,0.007721704999999,mp-decog,mp-chmkc,0.31424079688174733,10.0,3.1424079688174733
